source_name,candidate_id,candidate_name,similarity,distance_m
The Vintage Emporium Cafe,OVT-357DF2C6-3E80-4BE4-B867-96BF54D37513,The Vintage Emporium Da Kao,0.50,554
Soo Kafe,OVT-7D17E57C-643A-47BF-910F-40A9E5399356,Kerlan Kafe,0.50,371
Beanthere Cafe (Beanthere II - Hoàng Sa),OVT-82E5A34F-D2DC-43B5-A363-82DD86885F40,Gờ cafe - Hoàng Sa,0.50,Infinity
80's Coffee,OVT-6E3A3688-057B-46BE-B315-765D7A20C2DE,Chi's Cafe,0.50,486
The Local Coffee,OVT-2DECD0F9-DF75-4836-9D2D-87769BBEB63D,Local Saigon Cafe,0.50,408
96B Cafe & Roastery,OVT-EE51128F-8A54-4AD9-AC0F-201BAF53E2BA,96B Cafe and Roastery,0.67,332
Sorae Restaurant & Lounge,OVT-D389FB72-6530-4AEE-B320-9822384C2B74,Diamond Lounge,0.50,385
Sushi Hokkaido Sachi 北海道サチ - Đông Du,OVT-38F05D98-B7E8-42BB-9801-B4E58FBCF8B6,Zumwhere Đông Du,0.40,Infinity
Quán Bụi Original,OVT-62D0227A-81DA-4BF4-98C9-D91DB8BAFF16,Quán Bụi Central,0.50,Infinity
Pizza 4P's Lê Thánh Tôn,OVT-34CB8108-2FEE-4B0C-886E-0BD8A4159DFF,L'Usine Le Thanh Ton,0.50,Infinity
Tung's Restaurant,OVT-8E39E8C4-41D6-4235-84BC-C12C00261055,Nhà Hàng Kim's,0.50,Infinity
Quince Eatery,OVT-F2828EE1-38C3-4532-AE7F-E0FF9EF9F671,Quince Saigon,0.50,Infinity
Jumbo Seafood Vietnam (Đồng Khởi),OVT-06A09FBD-3160-4CFE-8DC9-64B424F5A059,Cà Phê Cô Ba Đồng Khởi,0.40,Infinity
De Tham Restaurant - Vietnamese Cuisine & Vegetarian Food,OVT-D2E6940E-4DE1-467F-B2FC-B27322A6B246,Tung's Restaurant - Vietnamese Cuisine & vegetarian Food,0.67,580
99 By Night - Dine & Chill,OVT-71D736C8-E1E4-4F41-B78E-B023C855FC0E,99 By Night,0.60,261
Rex Hotel Saigon,OVT-626CF293-EBCF-4CF0-ABC2-46AE888610AF,Saigon Prince Hotel,0.50,Infinity
EdenStar Saigon Hotel & Spa,OVT-E0CAB992-CAE5-4E9F-8025-81916F33E83E,Edenstar Saigon hotel,0.67,Infinity
Hotel Grand Saigon,OVT-B687BC9A-0A1C-477C-A78F-4F6DF6306556,Hotel Majestic Saigon  - Khách sạn Majestic Saigon,0.50,Infinity
Hotel Continental Saigon,OVT-B687BC9A-0A1C-477C-A78F-4F6DF6306556,Hotel Majestic Saigon  - Khách sạn Majestic Saigon,0.50,Infinity
Amaya Saigon Boutique Hotel,OVT-3E5A9C48-5EE5-46EF-83F7-544965E3D59A,Paradise Saigon Boutique Hotel and Spa,0.40,Infinity
Nicecy Ben Thanh Hotel,OVT-3B48BCDA-A50B-4F39-88ED-AF815FC2E1C7,Chợ Bến Thành,0.67,Infinity
Fusion Original Saigon Centre,OVT-051DC2EB-38BE-4D94-BD0E-33133433C5C6,Saigon Centre,0.50,Infinity
Sky Gem Hotel - Ben Thanh,OVT-7B12CBEC-C95B-49CA-A1EA-8E2C445B3CBD,Soul Ben Thanh,0.50,Infinity
Me Saigon Boutique Hotel,OVT-3E5A9C48-5EE5-46EF-83F7-544965E3D59A,Paradise Saigon Boutique Hotel and Spa,0.40,Infinity
Alagon D'Antique Boutique Hotel & Spa,OVT-3E5A9C48-5EE5-46EF-83F7-544965E3D59A,Paradise Saigon Boutique Hotel and Spa,0.40,389
Oscar Saigon Hotel,OVT-626CF293-EBCF-4CF0-ABC2-46AE888610AF,Saigon Prince Hotel,0.50,Infinity
22Land Hotel Saigon,OVT-8268525C-FC25-43DF-B480-98BEE39C156D,Avanti Hotel Saigon,0.50,Infinity
Royal Hotel Saigon,OVT-626CF293-EBCF-4CF0-ABC2-46AE888610AF,Saigon Prince Hotel,0.50,Infinity
